interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,north,south,west,houston,system_total,forecast_date,publish_time_used
2025-03-16 08:00:00-05:00,2025-03-16 13:00:00+00:00,2025-03-16 09:00:00-05:00,2025-03-16 14:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,13624.890519079596,10013.466353820795,8825.210381982426,9897.7824765625,42361.34973144532,2025-03-16,latest
2025-03-16 09:00:00-05:00,2025-03-16 14:00:00+00:00,2025-03-16 10:00:00-05:00,2025-03-16 15:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,13946.357618945312,10402.694526123052,9112.63747758789,10525.790601953124,43987.48022460938,2025-03-16,latest
2025-03-16 10:00:00-05:00,2025-03-16 15:00:00+00:00,2025-03-16 11:00:00-05:00,2025-03-16 16:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,13732.553665820313,10562.407062414555,9127.179402819824,10828.570074023435,44250.71020507813,2025-03-16,latest
2025-03-16 11:00:00-05:00,2025-03-16 16:00:00+00:00,2025-03-16 12:00:00-05:00,2025-03-16 17:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,13519.12134748535,10708.83420777588,9109.159235949708,11041.2556921875,44378.37048339844,2025-03-16,latest
2025-03-16 12:00:00-05:00,2025-03-16 17:00:00+00:00,2025-03-16 13:00:00-05:00,2025-03-16 18:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,13375.4214699585,10845.158452563484,9079.201807653812,11098.978279589845,44398.76000976564,2025-03-16,latest
2025-03-16 13:00:00-05:00,2025-03-16 18:00:00+00:00,2025-03-16 14:00:00-05:00,2025-03-16 19:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,13320.066216479489,11159.6685161499,8999.671270397947,11211.394656152344,44690.80065917968,2025-03-16,latest
2025-03-16 14:00:00-05:00,2025-03-16 19:00:00+00:00,2025-03-16 15:00:00-05:00,2025-03-16 20:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,13262.424237402349,11493.26549572754,8975.109627807622,11474.671220117189,45205.4705810547,2025-03-16,latest
2025-03-16 15:00:00-05:00,2025-03-16 20:00:00+00:00,2025-03-16 16:00:00-05:00,2025-03-16 21:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,13340.765687622072,11893.033544970704,8912.801304028322,11734.63945361328,45881.23999023438,2025-03-16,latest
2025-03-16 16:00:00-05:00,2025-03-16 21:00:00+00:00,2025-03-16 17:00:00-05:00,2025-03-16 22:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,13622.245499780269,12375.8086734375,8877.859525805663,11930.42602265625,46806.33972167968,2025-03-16,latest
2025-03-16 17:00:00-05:00,2025-03-16 22:00:00+00:00,2025-03-16 18:00:00-05:00,2025-03-16 23:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,14022.3242717041,12834.271187097169,8819.29948748779,12093.395336914062,47769.29028320312,2025-03-16,latest
